"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"...approvals of The Keystone XL &amp; Dakota Access pipelines. Also, look at the recent EPA cancelations &amp; our great new Supreme Court Justice!",FALSE,51400,NA,2017-10-15 13:46:27,FALSE,NA,"919560102725738498",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10357,FALSE,FALSE,NA,NA
"The Failing @nytimes, in a story by Peter Baker, should have mentioned the rapid terminations by me of TPP &amp; The Paris Accord &amp; the fast....",FALSE,41893,NA,2017-10-15 13:25:05,FALSE,NA,"919554724512387072",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",9181,FALSE,FALSE,NA,NA
"The Democrats in the Southwest part of Virginia have been abandoned by their Party. Republican Ed Gillespie will never let you down!",FALSE,60616,NA,2017-10-14 21:27:22,FALSE,NA,"919313707355787264",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",14033,FALSE,FALSE,NA,NA
"Very proud of my Executive Order which will allow greatly expanded access and far lower costs for HealthCare. Millions of people benefit!",FALSE,106817,NA,2017-10-14 11:27:00,FALSE,NA,"919162619889704961",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",20953,FALSE,FALSE,NA,NA
"Health Insurance stocks, which have gone through the roof during the ObamaCare years, plunged yesterday after I ended their Dems windfall!",FALSE,75670,NA,2017-10-14 11:18:49,FALSE,NA,"919160558712172544",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",17029,FALSE,FALSE,NA,NA
"Such a wonderful statement from the great @LouDobbs. ""We take up what may be the most accomplished presidency in modern American history.""",FALSE,63271,NA,2017-10-14 01:31:20,FALSE,NA,"919012714827145216",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15126,FALSE,FALSE,NA,NA
"ObamaCare is causing such grief and tragedy for so many. It is being dismantled but in the meantime, premiums &amp; deductibles are way up!",FALSE,56798,NA,2017-10-14 01:17:54,FALSE,NA,"919009334016856065",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",11785,FALSE,FALSE,NA,NA
"Money pouring into Insurance Companies profits, under the guise of ObamaCare, is over. They have made a fortune.
Dems must get smart &amp; deal!",FALSE,64032,NA,2017-10-14 01:10:55,FALSE,NA,"919007577681354752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",15062,FALSE,FALSE,NA,NA
"Many people talking, with much agreement, on my Iran speech today. Participants in the deal are making lots of money on trade with Iran!",FALSE,50513,NA,2017-10-14 01:02:48,FALSE,NA,"919005534883328000",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",10806,FALSE,FALSE,NA,NA
"Starting to develop a much better relationship with Pakistan and its leaders. I want to thank them for their cooperation on many fronts.",FALSE,65224,NA,2017-10-14 00:53:59,FALSE,NA,"919003314674634752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","realDonaldTrump",13466,FALSE,FALSE,NA,NA
